Sample	Top over-represented sequence	Sum of remaining over-represented sequences
X2_lib_raw_1	85.7259985163784	8.460686816404632
X2_lib_raw_2	91.69325286824214	1.3292635993998658
X2_neg_raw_1	87.32925087551112	7.254514507072599
X2_neg_raw_2	91.81617201103437	1.382818461056857
X2rL41_post_raw_1	86.20007978659629	8.093507274895344
X2rL41_post_raw_2	78.57177632721515	13.455522605838965
X2rL41_pre_raw_1	85.2507996207144	8.433021701576962
X2rL41_pre_raw_2	79.613558068665	11.73662312568706
X2rL42_post_raw_1	85.93586912863923	8.20229644598497
X2rL42_post_raw_2	77.67728768083852	14.559143357496623
X2rL42_pre_raw_1	84.81376586896042	9.06702865207616
X2rL42_pre_raw_2	81.43779906394337	9.959557466005975
