Module	Section	Sample Name	Source
FastQC (merged)	all_sections	X2rL42_post_merged	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2rL42_post_merged_fastqc.zip
FastQC (merged)	all_sections	X2rL41_post_merged	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2rL41_post_merged_fastqc.zip
FastQC (merged)	all_sections	X2rL41_pre_merged	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2rL41_pre_merged_fastqc.zip
FastQC (merged)	all_sections	X2_lib_merged	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2_lib_merged_fastqc.zip
FastQC (merged)	all_sections	X2_neg_merged	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2_neg_merged_fastqc.zip
FastQC (merged)	all_sections	X2rL42_pre_merged	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2rL42_pre_merged_fastqc.zip
FastQC (raw)	all_sections	X2rL41_post_raw_1	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2rL41_post_raw_1_fastqc.zip
FastQC (raw)	all_sections	X2rL42_post_raw_1	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2rL42_post_raw_1_fastqc.zip
FastQC (raw)	all_sections	X2rL42_pre_raw_1	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2rL42_pre_raw_1_fastqc.zip
FastQC (raw)	all_sections	X2rL41_pre_raw_1	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2rL41_pre_raw_1_fastqc.zip
FastQC (raw)	all_sections	X2_neg_raw_2	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2_neg_raw_2_fastqc.zip
FastQC (raw)	all_sections	X2_lib_raw_1	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2_lib_raw_1_fastqc.zip
FastQC (raw)	all_sections	X2_neg_raw_1	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2_neg_raw_1_fastqc.zip
FastQC (raw)	all_sections	X2rL41_pre_raw_2	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2rL41_pre_raw_2_fastqc.zip
FastQC (raw)	all_sections	X2rL41_post_raw_2	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2rL41_post_raw_2_fastqc.zip
FastQC (raw)	all_sections	X2_lib_raw_2	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2_lib_raw_2_fastqc.zip
FastQC (raw)	all_sections	X2rL42_post_raw_2	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2rL42_post_raw_2_fastqc.zip
FastQC (raw)	all_sections	X2rL42_pre_raw_2	/lustre/scratch124/casm/team113/users/vo1/QUANTS_BRCA1_example/work/f2/0eadb82764f8cada640677e5fd5b64/X2rL42_pre_raw_2_fastqc.zip
