task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	a1/0447f7	96574	NFCORE_QUANTS:SGE:INPUT_CHECK_FASTQ:SAMPLESHEET_CHECK_FASTQ (samplesheet.csv)	COMPLETED	0	2022-05-31 19:28:42.664	2.8s	1s	59.6%	4.6 MB	29.8 MB	1.5 MB	2 KB
16	23/17d3e2	98327	NFCORE_QUANTS:SGE:RAW_SEQUENCING_QC:FASTQC (X2rL42_post_raw)	COMPLETED	0	2022-05-31 19:28:45.560	18s	16s	148.0%	702 MB	4.1 GB	175.3 MB	4.8 MB
11	85/be070f	98410	NFCORE_QUANTS:SGE:RAW_SEQUENCING_QC:FASTQC (X2rL41_pre_raw)	COMPLETED	0	2022-05-31 19:28:45.633	18.8s	17s	163.6%	834.4 MB	4.1 GB	205.8 MB	4.8 MB
10	c6/a3b3db	98400	NFCORE_QUANTS:SGE:RAW_SEQUENCING_QC:FASTQC (X2rL41_post_raw)	COMPLETED	0	2022-05-31 19:28:45.621	19.1s	17s	178.1%	814.6 MB	4.1 GB	213 MB	4.8 MB
17	73/a00a68	108764	NFCORE_QUANTS:SGE:RAW_SEQUENCING_QC:SEQKIT_STATS (X2rL42_pre_raw)	COMPLETED	0	2022-05-31 19:29:03.539	5.1s	3s	254.8%	2.8 MB	11 MB	187.6 MB	9.1 KB
9	9e/7cdfc0	111538	NFCORE_QUANTS:SGE:RAW_SEQUENCING_QC:SEQKIT_STATS (X2rL41_post_raw)	COMPLETED	0	2022-05-31 19:29:08.630	6.1s	4s	218.8%	2.8 MB	11 MB	192.1 MB	9.1 KB
19	5a/8f22d8	115166	NFCORE_QUANTS:SGE:RAW_SEQUENCING_QC:FASTQC (X2rL42_pre_raw)	COMPLETED	0	2022-05-31 19:29:14.780	17.6s	16s	170.7%	2.8 MB	11 MB	208.6 MB	4.8 MB
5	0f/f35549	109381	NFCORE_QUANTS:SGE:READ_MERGING:SEQPREP (X2_neg)	COMPLETED	0	2022-05-31 19:29:04.764	30.1s	29s	90.7%	6.5 MB	10.5 MB	16.4 MB	11.7 MB
2	f7/59f1c5	125541	NFCORE_QUANTS:SGE:READ_MERGING:SEQPREP (X2_lib)	COMPLETED	0	2022-05-31 19:29:34.859	1m 40s	1m 39s	86.4%	6.3 MB	10.5 MB	50.2 MB	35.2 MB
14	f2/63f5b1	124191	NFCORE_QUANTS:SGE:READ_MERGING:SEQPREP (X2rL42_post)	COMPLETED	0	2022-05-31 19:29:32.436	4m 19s	4m 17s	92.8%	6.5 MB	10.5 MB	154.4 MB	110.3 MB
15	4b/2f50f8	30285	NFCORE_QUANTS:SGE:RAW_SEQUENCING_QC:SEQKIT_STATS (X2rL42_post_raw)	COMPLETED	0	2022-05-31 19:33:51.091	3.5s	2s	311.9%	42 MB	712.7 MB	154.4 MB	9.1 KB
